Original,Nombre
2,Shampoo
16,Papel Higiénico
18,Servilletas
19,Toallas de papel
23,Dulces
37,Limpiadores del hogar
74,Quesos
81,Yogurt
82,Mantequilla
84,Postres
89,Verduras congeladas
92,Café
93,Té
94,Snacks chips
95,Galletas dulces
96,Galletas saladas
98,Harina
100,Frutas en conserva
101,Leche
102,Manjar y mermeladas
103,Pasta
104,Arroz
105,Salsas 
106,Mariscos y pescados en conserva
108,Especias
109,Semillas
111,Sopas
112,Sustitutos del azúcar
116,Carne de vacuno
117,Carne de aves
120,Jugos en polvo
125,Cecinas envasadas
126,Quesos envasados
165,Carne de cerdo
174,Cecinas
183,Jabon
212,Mayonesas y dressings
213,Aceites
218,Barras de cereal
457,"Paltas, uvas y fruta seca"
458,"Naranjas, limones y sandias"
459,"Manzanas, duraznos y peras"
460,Tomates y cebollas
461,Lechugas y champiñones
465,Papas y zapallos
