,Visit_date,Visit_nbr,Category
0,2017-01-02,700200000,3
1,2017-01-02,700200001,126
2,2017-01-02,700200001,130
3,2017-01-02,700200002,127
4,2017-01-02,700200002,38
5,2017-01-02,700200002,130
6,2017-01-02,700200002,15
7,2017-01-02,700200002,125
8,2017-01-02,700200003,37
9,2017-01-02,700200004,119
10,2017-01-02,700200004,165
11,2017-01-02,700200004,117
12,2017-01-02,700200005,101
13,2017-01-02,700200006,353
14,2017-01-02,700200007,74
15,2017-01-02,700200008,119
16,2017-01-02,700200008,465
17,2017-01-02,700200008,130
18,2017-01-02,700200008,458
19,2017-01-02,700200008,33
